Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
AWS and React: Creating Full-Stack Apps,"Web app development implies a lot of potential pieces of software development. You may be an expert on React, JavaScript, and other aspects of the development side, but if you know less about server-side hosting, user authentication, and database storage through an API, this course can help fill in those gaps. Mobile application developer Bear Cahill guides you through the process of creating full-stack apps. Go over the steps involved in hosting a React app on AWS, then dive into user authorization for the app. Explore how to use DynamoDB API with AppSync, as well as using AppSync GraphQL calls with React. Plus, work through hands-on challenges that give you a chance to apply what you learn.",Course,2024-05-03 21:27 UTC,N/A,false,N/A,
Building a Website with Node.js and Express.js,"Node.js is a major platform for the web, used by companies like Uber, Netflix, and Intuit. Express.js is a fast, minimalist framework that sits on top of Node.js and allows you to build powerful single- and multi-page web applications and websites. In this course, instructor Daniel Khan shows how to build a realistic and robust website with these technologies. Learn how to build a basic application in minutes, transform HTML into dynamic pages, leverage template engines to modularize code, add routing and business logic, handle errors, store form data, and create API endpoints for single-page applications. Along the way, Daniel helps you pick up bits and pieces about Express.js and improve your overall knowledge of how to work effectively with Node.js.",Course,2026-05-11 14:28 UTC,N/A,false,N/A,
Testing in React: Beyond Unit Tests,"In this course, learn how to implement different testing strategies for your React applications. Join instructor Ayodele Aransiola in this interactive learning experience as he covers test-driven development practices and mocking strategy for asynchronous data. By the end of this course, you should be able to build production-ready React applications with quality testing suites.",Course,2026-04-29 13:40 UTC,N/A,false,N/A,
Testing in React with Vitest,"This course guides you through the process of setting up and testing web applications using Vitest integrated with the React Testing Library and other essential libraries. Learn how to set up a React app with Vite, install dependencies, and initialize your project, as you explore the basics of Vitest and how it can fit into your testing strategy with instructor Cyrus Ndirangu. Configure ESLint and Prettier to maintain code quality and style consistency, before you get started with your first unit test. Progressively, discover best practices for testing application state and hooks quickly and efficiently. By the end of the course, you’ll be ready to write tests that validate your application's functionality, including testing mock API requests and ensuring correct routing using the React Router. With practical examples and expert guidance throughout, this course shows you why testing is so crucial and how to use it to improve your development workflow.",Course,2026-03-25 07:31 UTC,N/A,false,N/A,
Nano Tips to Boost Productivity with Shadé Zahrai,"Welcome to our Nano Tips series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, peak performance researcher and behavioral strategist to Fortune 500 companies Shadé Zahrai teaches tips for increasing your productivity. Shadé shows you techniques to help you start your tasks more efficiently and provides strategies to help you maintain your focus. She also shares some essential productivity principles to help you recalibrate your mindset and boost your productivity.",Course,2025-07-05 09:54 UTC,N/A,false,N/A,
Managing Anxiety Triggers with Effective Techniques,"<p>Imagine you are having an anxious moment at work. Instead of letting yourself slip into old patterns of negative thoughts or self-criticisms, you can take a step back and try something new. Maybe move around, go out for lunch, drink some water—just don’t start doom scrolling. Emma Seppala is a lecturer at Yale, and in this course, she details techniques on how to manage anxiety. Emma explains that anxiety is telling you something, and by asking yourself ""what do you need?"" you can reclaim your power and energy. Check out this course to learn how to better deal with anxiety and stop subjecting yourself to self-destructive beliefs and behaviors. 
</p><p> 
This course was created by Morra Aarons-Mele of <i>The Anxious Achiever</i>. We are pleased to offer this insightful discussion in our library.",Course,2025-06-10 11:08 UTC,N/A,false,N/A,
ASP.NET Core: Middleware,"In ASP.NET Core, the HTTP pipeline is built from middleware—components that see every request and response and decide how to act upon them, and whether to forward each one to the next component in the pipeline. In this course, learn what middleware is and how to write middleware components of your own to enhance ASP.NET Core web applications. Instructor Christian Wenz also details inline and external middlewares, mapping them to HTTP requests, and fine-tuning the order in which they run.",Course,2026-03-26 10:20 UTC,N/A,false,N/A,
Applied Machine Learning: Feature Engineering,"Machine learning is not magic. The quality of the predictions coming out of your model is a direct reflection of the data you feed it during training. This course with instructor Matt Harrison guides you through the nuances of feature engineering techniques for numeric data so you can take a dataset, tease out the signal, and throw out the noise in order to optimize your machine learning model. Matt teaches you techniques like imputation, binning, log transformations, and scaling for numeric data. He covers methods for other types of data, like as one hot encoding, mean targeting coding, principal component analysis, feature aggregation, and text processing techniques like TFIDF and embeddings. The tools you learn in this course will generalize to nearly any kind of machine learning algorithm/problem, so join Matt in this course to learn how you can extract the maximum value from your data using feature engineering.",Course,N/A,N/A,true,N/A,
Problem-Solving Techniques,"You can't solve a problem unless you can get to the cause—and sometimes there's more than one. In this course, learn techniques for identifying the root cause of a problem, generating options, and selecting the best solution. Chris Croft takes you through several methods for identifying what's actually causing a problem, including looking at the whole system when a problem is actually a symptom of a larger issue. He also explains how to generate potential solutions using mind maps and decision trees, how to boost your creativity to help you come up with more insightful options, and how to use both logic and your intuition to select the right solution to your problem.",Course,2024-05-07 18:14 UTC,N/A,false,N/A,
Using AI Tools for UX Design,"While professionals across virtually every industry and field may be curious—or nervous—about the increasing influence of artificial intelligence, there are many tools now available that can help you streamline your processes and work more efficiently. In this course, explore how AI-powered tools can help improve the process of UX design with expert Eric Nordquist. Eric examines tools like Midourney, DALL-E 2, Jasper AI, and more, and explains how they can be used across the user experience design project lifecycle.",Course,2024-04-13 00:17 UTC,N/A,false,N/A,
Learning Go (2021),"What is Go? Go is a next-generation, open-source programming language created by Google for building systems, web, and other applications. This course is designed to help developers get started with Go, covering its core language elements and syntax. David Gassner introduces tools and skills used in a Go workflow—including Go Playground, an online tool that takes Go development off the desktop. He also covers basic programming tasks: managing values, using math operators, storing values as complex types, and managing program flow. Plus, learn how to create reusable Go code, read and write files, and make simple web requests.

<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-06-30 06:38 UTC,N/A,false,N/A,
Learning SQL Programming,"<p>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2024-06-18 20:51 UTC,N/A,false,N/A,
AWS Certified Data Engineer Associate (DEA-C01) Cert Prep,"The AWS Certified Data Engineer - Associate (DEA-C01) exam validates your
ability to implement data pipelines and to monitor, troubleshoot, and optimize cost
and performance issues in accordance with best practices. This course helps you prepare for the examine, and outlines the tasks you need to know, including how to: ingest and transform data, and orchestrate data pipelines while applying
programming concepts; choose an optimal data store, design data models, catalog data schemas, and manage data lifecycles; operationalize, maintain, and monitor data pipelines; analyze data and ensure data quality; and implement appropriate authentication, authorization, data encryption, privacy and governance.",Course,2025-11-22 21:13 UTC,N/A,false,N/A,
LinkedIn Premium Quick Tips (2023),"Looking for a new role, but not sure where to start? You can find your next job—or simply get ahead in your field—using the powerful features and networking tools of LinkedIn Premium. Join LinkedIn Learning staff instructor Garrick Chow as he provides quick answers to all those ""How do I...."" questions, covering everything from InMail to privacy settings, out-of-office replies, and more. He also offers easy-to-use, bite-sized tips for leveraging Premium features designed specifically for job hunters, such as Open Profile, Company Insights, Applicant Insights, Resume Builder, and Interview Prep.",Course,2024-05-05 21:42 UTC,N/A,false,N/A,
React Native Ecosystem and Workflow,"React Native makes it easy to develop applications and deploy them natively to multiple mobile platforms. That said, building a complete app means looking beyond React Native to the different options that can help you customize your workflow. In this course, Emmanuel Henri takes you on a tour of some of the most commonly used React Native features. He highlights several different types of React Native UI libraries. Next, Emmanuel reviews development resources such as full-stack frameworks and IDEs. He also shows you some backend options for your project. To wrap up, he provides an overview of the testing and deployment options available to you.",Course,2026-03-09 21:29 UTC,N/A,false,N/A,
Oracle Cloud Data Management Foundations Workshop,"<p>Oracle data management embraces modern app development and transformation with a simply complete solution that is completely simple. In this course from Oracle University, learn how the Oracle cloud data platform extends and complements its core databases. Go over architecting data management platforms. Get started with Autonomous Database (ADB) and get familiar with the tools you will use. Explore exadata and Database Cloud Service (DBCS), including exadata deployment options and lifecycle management. Find out how to use MySQL and NoSQL with HeatWave, as well as how to simplify application development with a converged database. Discover the resiliency in the database maximum security architecture and the Oracle Maximum Availability Architecture. Step through the process of developing on Oracle Database. Explore data lake, data warehouse, and machine learning. Plus, go over the process for upgrades and migrations.</p>

<p>This course was created by Oracle University. We are pleased to host this training in our library.</p>",Course,N/A,N/A,true,N/A,
Machine Learning with Python: Logistic Regression,"Are you looking for a practical way to use machine learning to solve complex real-world problems? Logistic regression is an approach to supervised machine learning that models selected values to predict possible outcomes. In this course, Notre Dame professor Frederick Nwanganga provides you with a step-by-step guide on how to build a logistic regression model using Python. Learn hands-on tips for collecting, exploring, and transforming your data before you even get started. By the end of this course, you’ll have the technical skills to know when and how to design, build, evaluate, and effectively manage a logistic regression model all on your own.<br><br>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.",Course,N/A,N/A,true,N/A,
Diversity Across Generations: Supporting Workplace Inclusion,"With five different generations all serving in today’s distributed workforce, you need to know how to collaborate with colleagues of all ages to be successful. In this course, instructor Linda Croyle—a consultant in transformative communication, diversity, and inclusion with a master’s degree in human development and psychology from Harvard University—teaches you how to recognize generational characteristics to promote generational inclusion in the workplace. Learn what comprises a generation, how each differs, and how intergenerational collaboration can create successful outcomes. Get tips on identifying the work styles and qualities offered by each unique group. Linda shares common misunderstandings between generations along with ways to prevent exclusion, as you discover the dynamics of older and younger employees, and how to foster employee collaboration despite bias, discrimination, and so forth. Upon completing this course, you’ll be prepared to recognize the role each generation plays in the workplace.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2025-02-06 09:47 UTC,N/A,false,N/A,
Communication Tips,"<p>Strong communication skills are essential for your career and can be a great help in other facets of life, as well. In this course, Kelley School of Business faculty member Tatiana Kolovou and expert communication and teams educator Brenda Bailey-Hughes team up to offer you key tips that can help you communicate with confidence, present effectively, communicate effectively on a team, and build and maintain interpersonal relationships. Learn how to promote yourself with humility and style, communicate with authenticity and compassion, craft a story with impact, and much more. Find out how to present a memorable message and keep team communications focused, effective, well-crafted, and diplomatic. Plus, fine-tune your interpersonal communication skills and get started putting everything you’ve learned to use.</p><p>This course includes AI-powered Role Play. Role Play allows you to practice what you’ve learned in interactive simulations of real-world conversations.</p>",Course,2024-06-18 09:00 UTC,N/A,false,N/A,
Designing RESTful APIs,"Having a solid understanding of how to correctly build APIs is important for any developer planning on creating websites. In this course, learn how to plan and model your own APIs, and explore the six REST design constraints that help guide your architecture. Keith Casey starts with a simple overview, including advice on identifying the users or ""participants"" of your system, and the activities they might perform with it. He discusses how to validate your design before you build it, and explores the HTTP concepts and REST constraints needed to build your API. To wrap up, Keith goes over some of the most common API design patterns you may encounter.",Course,N/A,N/A,true,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2024-03-25 23:10 UTC,N/A,false,N/A,
JavaScript: Prototypes,"The JavaScript approach to object-oriented programming feels alien to many developers. While prototypes are core tools for intermediate and advanced programming, even experienced developers may not understand how they work. This course explains how to write more efficient JavaScript code using the prototype chain. Learn fundamental concepts underlying prototypes, such as object literals and constructors, and discover how prototypes can reduce memory usage, improve code organization, and help you cascade changes site-wide with a single update. Instructor Sasha Vodnik also explains how to use ES6 classes to build prototypes with less code and more features.",Course,2026-05-06 10:26 UTC,N/A,false,N/A,
React: Advanced Code Challenges,"<p>The course aims to take your React knowledge and skills to the next level with advanced concepts, strategies, and methods through hands-on practice. It is designed to help you acquire the advanced best practices and industry standards. Instructor Sandy Ludosky cover topics such as state updates and re-renders, advanced state management patterns, React lifecycle and data fetching, React.memo memoization, diffing and reconciliation, and debouncing and throttling. </p>   
 <p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2026-03-01 11:41 UTC,N/A,false,N/A,
JavaScript Patterns: Modern Solutions to Common Challenges,"""This code works, but there must be a simpler way."" JavaScript hides lots of power behind techniques with approaches or even names that are not obvious. Developers who want to create more streamlined code with JavaScript’s less visible—and often more powerful—options may need some extra information. In this course, web designer, author, and trainer Joe Chellman highlights hard-to-find techniques that can make a huge difference in how you use JavaScript. After explaining why even experienced developers may still find JavaScript tricky, Joe jumps right into alternatives to speed up loops and process arrays with loops more elegantly. He clears up some confusion around objects, binding, and more. Joe concludes with some sound advice on functions, including how to pass extra named parameters, how to get a function signature to accept arrays, and how to determine which parameters come first more efficiently.",Course,2024-05-12 09:12 UTC,N/A,true,N/A,
Programming Foundations: Design Patterns,"Design patterns are reusable solutions that solve the challenges software developers face over and over again. Rather than reinventing the wheel, learn how to make use of these proven and tested patterns that will make your software more flexible and resilient to change. This course introduces you to design patterns and takes you through several of the most used object-oriented patterns. Elisabeth Robson and Eric Freeman, coauthors of <i>Head First Design Patterns</i>, join forces to provide an overview of each pattern and examples of the pattern in action. Featured design patterns include the strategy, adapter, observer, and decorator patterns. Elisabeth and Eric lend these concepts a real-world context by providing code demos in Java, with the occasional example in Python and JavaScript.",Course,N/A,N/A,true,N/A,
Advanced SQL for Data Science: Time Series,"Time series data is data gathered over time: performance metrics, user interactions, and information collected by sensors. Since different time series data have different measures and different intervals,  these data present a unique challenge for data scientists. However, SQL has some features designed to help. This course teaches you how to standardize and model time series data with them. Instructor Dan Sullivan discusses windowing and the difference between sliding and tumbling window calculations. Then learn how SQL constructs such as OVER and PARTITION BY help to simplify analysis, and how denormalization can be used to augment data while avoiding joins. Plus, discover optimization techniques such as indexing. Dan also introduces time series analysis techniques such as previous time period comparisons, moving averages, exponential smoothing, and linear regression.",Course,2024-06-18 08:48 UTC,N/A,true,N/A,
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG),"<p>As large language models grow in popularity, the infrastructure to be used around them also becomes vital to reduce costs, generate accurate responses, and improve efficiency. Vector databases play a vital role in several LLM use cases to help alleviate LLM shortcomings, reduce costs and latency. Knowledge of its basics and applications are vital for any engineer building applications with LLMs, and in this course, Kumaran Ponnambalam teaches you the basics of vector databases and how to use them in LLM caching and retrieval-augmented generation (RAG).
 </p>
Kumaran begins with a discussion on the basics of vector databases and their applications. He then explores specialized databases for storing vectors and uses the Milvus database as the reference example, and demonstrates read and write operations with the Milvus database. Learn how to use vector databases for LLM caching, with an example use case, along with examples of RAG use cases. Finally, Kumaran concludes with a discussion on optimizing vector databases.",Course,N/A,N/A,true,N/A,
